Date,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (°C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa),Rain Tomorrow
01/02/2020,23.7,36.4,0,9.6,11.3,NNE,56,16:02,26.5,85,0,E,13,1011,35.5,48,1,NE,17,1006.9,0
02/02/2020,24.6,31.1,0,10,3.1,SSE,44,15:08,25.3,81,4,S,13,1007.1,29.3,69,6,SE,26,1005.1,1
03/02/2020,22.2,31.7,23,7.8,6.9,SSE,72,17:51,23.3,97,8,SSE,11,1006.1,28.8,66,5,E,19,1003.1,1
04/02/2020,18.2,23.7,3,9.4,4.5,SSE,54,00:21,18.9,58,6,SSW,22,1020.8,21.6,56,7,ESE,20,1020.9,1
05/02/2020,17.9,27.4,0.6,7,9.3,E,37,15:19,20.5,72,3,W,9,1021.2,25.9,57,7,E,20,1018.5,1
06/02/2020,20.4,24.4,0.6,8,0,ENE,44,04:48,23.1,77,7,ENE,22,1022.2,23.1,80,7,E,9,1021.6,1
07/02/2020,18.5,22.6,78.2,4,0,E,59,00:07,19.2,100,7,ESE,35,1021.3,20.7,99,7,ESE,28,1019.7,1
08/02/2020,18.9,23.8,69.2,,0,ESE,70,14:56,22.5,88,7,E,24,1018.9,21.1,94,7,ENE,44,1017.6,1
09/02/2020,19.1,21.9,65.4,,0,ESE,102,14:17,19.2,99,8,SE,43,1014.6,20.2,100,8,ESE,59,1008.9,1
10/02/2020,19.2,27.8,164.8,,5.6,ESE,63,00:20,21.7,,6, ,Calm,1010.2,26.7,81,5,E,20,1007.8,0
11/02/2020,20.6,30.8,0,4.2,10.5,NE,44,15:16,21.9,94,4,W,11,1009.2,26.9,74,6,ENE,17,1006.9,0
12/02/2020,21.9,26.4,0,7.8,2.3,ESE,33,14:48,24.3,90,5,E,6,1009.7,23.9,90,8,ESE,20,1009.7,1
13/02/2020,21.5,26.3,7.8,3,0.9,ENE,35,13:00,23.6,99,7,ESE,17,1011.7,23,95,7,ENE,17,1010.8,1
14/02/2020,20.2,27.8,5.4,4,12.1,SSE,35,13:09,22.7,81,2,SSE,17,1010.2,26.9,57,1,SSE,19,1007.1,0
15/02/2020,18.3,28.5,0,8,8.2,ESE,26,11:07,21,88,1,WNW,11,1006,25.3,68,7,ESE,13,1006.4,1
16/02/2020,20.2,27.7,1,4.4,9.3,ESE,30,13:15,22.1,81,2,SSW,9,1014.5,26.6,64,7,SE,20,1014.2,1
17/02/2020,20.7,26.1,1,5.6,2.1,W,17,06:44,22.1,91,7,WNW,7,1014.9,24.2,79,7,ENE,11,1012.8,1
18/02/2020,20.3,30,0.4,3,7,W,104,21:50,21.7,94,7,NNW,6,1010,29.7,67,7,NE,22,1005.1,1
19/02/2020,19.9,29.1,11.2,9.8,12.1,W,44,08:59,22.4,57,0,W,22,1003.1,28.2,35,3,W,15,1002.6,0
20/02/2020,17.7,25.5,0,9.8,10.2,ESE,39,14:21,19.7,77,5,SE,9,1010.7,24.1,55,2,SE,20,1011.2,0
21/02/2020,19.7,26.6,0,7,6.8,SE,37,18:39,21.9,72,7,ESE,4,1016.5,25.2,63,7,ESE,19,1016.1,0
22/02/2020,18.5,24.3,0,5.8,0.8,SSW,33,02:42,19.4,86,7,ENE,15,1023.9,23.4,67,7,ESE,6,1023.3,0
23/02/2020,19.4,25.9,0,4.6,1.4,ENE,30,00:29,21.7,80,7,WNW,9,1024.7,25.2,64,7,NE,15,1023,1
24/02/2020,19.1,28.4,2,4.2,11.6,ENE,31,13:59,21.7,83,6,WNW,7,1021.5,27.9,62,1,E,26,1018.9,1
25/02/2020,19.8,29.7,0.2,8,11.1,NNE,48,17:14,22,88,1,NW,2,1017.2,29.2,58,5,ENE,28,1013,0
26/02/2020,21.7,32.2,0,8.8,9,SSW,74,18:36,26.1,67,7,NW,6,1006.8,28.9,58,7,NW,11,1003,1
27/02/2020,20.1,27.2,0.6,10.6,6.8,SSE,39,23:27,21,67,7,SSE,4,1011.8,26.6,55,2,E,28,1007.9,0
28/02/2020,18.7,25.7,0,6.4,11.1,SSE,43,15:32,20.5,61,1,SSW,19,1010.8,23.7,60,7,SSE,19,1012.3,0
29/02/2020,19,27.9,0,6.8,8.1,E,33,15:00,20.4,80,2,WNW,13,1017.6,26.9,53,7,E,22,1014.6,0
